"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"113","DJ Turner (FA)","16","29","158","9.9","30","2","1","5","33","1","0","13","31.1","2.4","1.0%"
"114","Adonai Mitchell (IND)","23","55","312","13.6","36","4","0","4","6","0","1","17","30.8","1.8","6.6%"
"115","Jordan Whittington (LAR)","22","28","293","13.3","50","4","0","2","12","0","0","15","30.5","2.0","3.6%"
"116","Cedrick Wilson Jr. (NO)","20","27","211","10.6","25","1","1","0","0","0","1","15","29.9","2.0","1.1%"
"117","Malik Washington (MIA)","26","36","223","8.6","20","2","0","5","25","1","1","14","28.8","2.1","2.2%"
"118","Derius Davis (LAC)","13","17","112","8.6","23","1","2","12","39","0","0","15","27.1","1.8","0.6%"
"119","Josh Reynolds (NYJ)","13","24","194","14.9","49","4","1","0","0","0","0","8","25.4","3.2","2.5%"
"120","Tylan Wallace (BAL)","11","12","193","17.5","84","2","1","0","0","0","0","17","25.3","1.5","0.6%"
"121","KhaDarel Hodge (ATL)","7","12","131","18.7","45","3","1","0","0","0","0","16","25.1","1.6","0.7%"
"122","Ryan Miller (TB)","12","20","128","10.7","39","2","2","0","0","0","0","11","24.8","2.3","1.0%"
"123","Jalen Brooks (DAL)","12","30","177","14.8","41","2","1","0","0","0","0","14","23.7","1.7","1.0%"
"124","Trey Palmer (TB)","12","22","172","14.3","27","2","1","0","0","0","0","15","23.2","1.5","0.6%"
"125","Jahan Dotson (PHI)","19","33","216","11.4","36","2","0","1","13","0","0","17","22.9","1.3","1.9%"
"126","Malik Heath (GB)","10","13","97","9.7","41","1","2","0","0","0","0","12","21.7","1.8","0.6%"
"127","Mecole Hardman Jr. (GB)","12","14","90","7.5","17","0","0","5","62","1","0","12","21.2","1.8","0.6%"
"128","Ja'Lynn Polk (NE)","12","33","87","7.3","21","1","2","1","0","0","0","15","20.7","1.4","1.4%"
"129","Dante Pettis (NO)","12","28","120","10.0","20","1","1","0","0","0","0","8","20.0","2.5","1.0%"
"130","Robert Woods (PIT)","20","30","203","10.2","32","2","0","0","0","0","1","14","18.3","1.3","0.6%"
"131","Bub Means (NO)","9","15","118","13.1","36","1","1","0","0","0","0","7","17.8","2.5","1.0%"
"132","Jamison Crowder (FA)","9","13","72","8.0","12","0","2","0","0","0","1","5","17.2","3.4","1.0%"
"133","Ashton Dulin (IND)","2","8","67","33.5","54","1","1","5","45","0","0","15","17.2","1.1","0.0%"
"134","Luke McCaffrey (WAS)","18","24","168","9.3","30","2","0","0","0","0","0","17","16.8","1.0","1.8%"
"135","Jake Bobo (SEA)","13","17","107","8.2","15","0","1","0","0","0","0","17","16.7","1.0","0.9%"
"136","Kevin Austin Jr. (NO)","11","22","151","13.7","23","2","0","1","9","0","0","8","16.0","2.0","0.0%"
"137","Jonathan Mingo (DAL)","17","42","167","9.8","35","2","0","2","5","0","1","16","15.2","1.0","0.6%"
"138","Bo Melton (GB)","8","17","91","11.4","28","1","0","8","54","0","0","17","14.5","0.9","0.8%"
"139","Trent Sherfield Sr. (DEN)","8","10","83","10.4","17","0","1","0","0","0","0","15","14.3","1.0","0.0%"
"140","Tyrell Shavers (BUF)","1","1","69","69.0","69","1","1","0","0","0","0","3","12.9","4.3","0.0%"
"141","Rakim Jarrett (TB)","9","11","124","13.8","30","2","0","0","0","0","0","10","12.4","1.2","1.9%"
"142","Xavier Hutchinson (HOU)","12","26","117","9.8","19","0","0","0","0","0","0","16","11.7","0.7","0.6%"
